pair_id,state,feature_key,feature,screen_key,screen_model,width_cm,height_cm,diagonal_in,screen_area_cm2,logical_units_per_cm,canvas_width,canvas_height,tree_size,tree_path,actor,task_index,target_id,secondary_id,drag_source_id,drag_target_id,resource_nodes,canvas_cards,decorators,graph_canvas_width,graph_canvas_height,operation_zoom,cards_in_viewport,cards_fully_in_viewport,card_visible_area_px2,card_area_px2,overlap_pairs,overlap_area_px2,information_fields,hierarchy_violations,resource_positions_unchanged,topology_unchanged,execution_order_unchanged,smart_overlap_pairs,smart_overlap_area_px2,smart_other_cards_moved,smart_max_other_move_px,smart_far_cards_moved,smart_solver_active,smart_resource_positions_unchanged,adaptive_detail_level,adaptive_compact,adaptive_card_area_px2,adaptive_cards_in_viewport,adaptive_cards_fully_in_viewport,adaptive_card_visible_area_px2,adaptive_information_fields,adaptive_overlap_pairs,adaptive_overlap_area_px2,adaptive_hierarchy_violations,overlay_from_id,overlay_to_id,overlay_blocker_id,overlay_crossing_length_px,overlay_background_alpha,overlay_revealed_edge_weighted_px,overlay_text_mask_count,overlay_routes_unchanged,related_selected_count,related_expected_count,related_unrelated_count,related_correctly_classified,related_correctly_dimmed,related_mean_alpha,related_unrelated_mean_alpha,related_salience_ratio,related_full_bright_in_view,fisheye_controlled_prerequisite,fisheye_target_width_px,fisheye_baseline_width_px,fisheye_target_fields,fisheye_magnified_cards,fisheye_nonfocus_magnified_cards,fisheye_far_mean_alpha,fisheye_far_mean_scale,fisheye_reflow_cards,fisheye_layout_cards,fisheye_protected_overlap_pairs,fisheye_protected_overlap_area_px2,fisheye_stationary_focus_id,engine,renderer,gpu
large_31_55|031|t2|translucent_cards,on,translucent_cards,Readable Edge Overlay,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,20,9,10,31,30,1,2118.0,1237.0,0.75,8,8,320994.345214844,1145529.0,2,11990.25,120,1,true,true,true,,,,,,,,,,,,,,,,,,29,30,27,83.25,0.72,23.31,210,true,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t2|breadcrumb,off,breadcrumb,Related Node Focus,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,20,9,10,31,30,1,2118.0,1237.0,0.75,15,15,572465.25,1145529.0,0,0.0,120,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,22,30,0,1.0,1.0,1.0,15,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t2|breadcrumb,on,breadcrumb,Related Node Focus,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,20,9,10,31,30,1,2118.0,1237.0,0.75,15,15,572465.25,1145529.0,0,0.0,120,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,22,8,22,1.0,0.18000000715256,5.55555533479762,4,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t2|fisheye,off,fisheye,Fisheye Focus,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,20,9,10,31,30,1,2118.0,1237.0,0.75,15,15,446181.75,903585.375,0,0.0,89,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Zoom Detail,199.5,199.5,3,0,0,1.0,1.0,0,0,0,0.0,-1,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t2|fisheye,on,fisheye,Fisheye Focus,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,20,9,10,31,30,1,2118.0,1237.0,0.75,15,15,356442.75,718332.1875,0,0.0,90,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Zoom Detail,234.0,199.5,4,1,0,0.12,0.68,0,3,0,0.0,16,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t3|auto_spacing,off,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,26,12,13,31,30,1,2118.0,1237.0,0.75,13,13,496904.625,1145529.0,1,34718.625,120,0,true,true,true,1,34718.625,0,0.0,0,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t3|auto_spacing,on,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,26,12,13,31,30,1,2118.0,1237.0,0.75,13,13,496904.625,1145529.0,0,0.0,120,0,true,true,true,0,0.0,1,208.537490844727,0,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t3|semantic_zoom,off,semantic_zoom,Adaptive Zoom Detail,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,26,12,13,31,30,1,2118.0,1237.0,0.75,13,10,480768.1875,1145529.0,0,0.0,120,0,true,true,true,,,,,,,,2,false,1145529.0,13,10,480768.1875,120,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t3|semantic_zoom,on,semantic_zoom,Adaptive Zoom Detail,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,26,12,13,31,30,1,2118.0,1237.0,0.75,13,10,384188.0625,903585.375,0,0.0,89,0,true,true,true,,,,,,,,1,false,903585.375,13,10,384188.0625,89,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t3|translucent_cards,off,translucent_cards,Readable Edge Overlay,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,26,12,13,31,30,1,2118.0,1237.0,0.75,11,11,430034.0625,1145529.0,2,12076.875,120,1,true,true,true,,,,,,,,,,,,,,,,,,26,29,27,109.612987348768,1.0,0.0,0,true,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t3|translucent_cards,on,translucent_cards,Readable Edge Overlay,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,26,12,13,31,30,1,2118.0,1237.0,0.75,11,11,430034.0625,1145529.0,2,12076.875,120,1,true,true,true,,,,,,,,,,,,,,,,,,26,29,27,109.612987348768,0.72,30.6916364576552,210,true,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t3|breadcrumb,off,breadcrumb,Related Node Focus,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,26,12,13,31,30,1,2118.0,1237.0,0.75,13,10,480768.1875,1145529.0,0,0.0,120,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,14,30,0,1.0,1.0,1.0,13,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t3|breadcrumb,on,breadcrumb,Related Node Focus,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,26,12,13,31,30,1,2118.0,1237.0,0.75,13,10,480768.1875,1145529.0,0,0.0,120,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,14,16,14,1.0,0.18000000715256,5.55555533479762,10,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t3|fisheye,off,fisheye,Fisheye Focus,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,26,12,13,31,30,1,2118.0,1237.0,0.75,13,10,384188.0625,903585.375,0,0.0,89,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Zoom Detail,199.5,199.5,3,0,0,1.0,1.0,0,0,0,0.0,-1,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t3|fisheye,on,fisheye,Fisheye Focus,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,3,23,26,12,13,31,30,1,2118.0,1237.0,0.75,13,11,329436.28125,717776.4375,0,0.0,90,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Zoom Detail,234.0,199.5,4,1,0,0.12,0.68,0,4,0,0.0,23,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|061|t1|auto_spacing,off,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,1,15,25,5,6,61,56,5,2118.0,1237.0,0.75,13,11,519410.0625,2176445.25,1,35861.625,228,0,true,true,true,1,35861.625,0,0.0,0,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|061|t1|auto_spacing,on,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,1,15,25,5,6,61,56,5,2118.0,1237.0,0.75,13,11,519410.0625,2176445.25,0,0.0,228,0,true,true,true,0,0.0,2,208.537490844727,0,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|061|t1|semantic_zoom,off,semantic_zoom,Adaptive Zoom Detail,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,1,15,25,5,6,61,56,5,2118.0,1237.0,0.75,20,20,780892.875,2176445.25,0,0.0,228,0,true,true,true,,,,,,,,2,false,2176445.25,20,20,780892.875,228,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
